device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,trial,trial_phase,pp_TS
1015332383,14177088871,"(0.5354688167572021, 0.5080945491790771)","(13.867462158203125, 134.88601684570312, -5.559999942779541)",1,3.7615509033203125,1,"(-61.52204513549805, -2.249659538269043, 639.848876953125)","(0.6373584270477295, 0.5050227642059326, 0.46616291999816895)",1,"(0.5361190438270569, 0.46540892124176025)","(14.206268310546875, 147.39703369140625, -5.559999942779541)",1,3.6083221435546875,1,"(5.022599697113037, -3.140787124633789, 647.853515625)","(0.4889247417449951, 0.5069257020950317, 0.4928450584411621)",1,1,1,14176.6330992
1015340703,14177097201,"(0.5361762642860413, 0.5116925239562988)","(14.236083984375, 133.83145141601562, -5.559999942779541)",1,nan,0,"(-61.480674743652344, -2.2768256664276123, 640.0735473632812)","(0.6372178792953491, 0.5050815939903259, 0.46691182255744934)",1,"(0.5436625480651855, 0.4488225281238556)","(18.13690185546875, 152.2584686279297, -5.559999942779541)",1,nan,0,"(5.054354190826416, -3.177794933319092, 646.3809204101562)","(0.4888293445110321, 0.507023274898529, 0.487936407327652)",1,1,1,14176.6330992
1015349035,14177105544,"(0.5381452441215515, 0.5106574892997742)","(15.262054443359375, 134.13482666015625, -5.559999942779541)",1,nan,0,"(-61.511749267578125, -2.308274269104004, 640.3175048828125)","(0.6372349262237549, 0.5051498413085938, 0.46772500872612)",1,"(0.5419298410415649, 0.46053093671798706)","(17.23406982421875, 148.82676696777344, -5.559999942779541)",1,nan,0,"(5.0126776695251465, -3.1761698722839355, 645.2553100585938)","(0.48890212178230286, 0.5070319175720215, 0.4841843545436859)",1,1,1,14176.6330992
1015357370,14177113891,"(0.5369127988815308, 0.49037498235702515)","(14.619873046875, 140.07955932617188, -5.559999942779541)",1,3.6976165771484375,1,"(-61.48128890991211, -2.3217790126800537, 640.5618286132812)","(0.6371146440505981, 0.5051779747009277, 0.46853941679000854)",1,"(0.5399654507637024, 0.46391478180885315)","(16.21051025390625, 147.83497619628906, -5.559999942779541)",1,3.557861328125,1,"(5.057790756225586, -3.199070930480957, 644.41455078125)","(0.48878762125968933, 0.5070918798446655, 0.4813818335533142)",1,1,1,14176.6330992
1015365701,14177122234,"(0.5335738658905029, 0.4934208393096924)","(12.880096435546875, 139.18682861328125, -5.559999942779541)",1,nan,0,"(-61.434207916259766, -2.3303382396698, 640.6602172851562)","(0.636988639831543, 0.5051962733268738, 0.46886739134788513)",1,"(0.5406891703605652, 0.46157848834991455)","(16.58758544921875, 148.5197296142578, -5.559999942779541)",1,nan,0,"(5.060432434082031, -3.2489264011383057, 643.6478881835938)","(0.48876839876174927, 0.5072109699249268, 0.47882628440856934)",1,1,1,14176.6330992
1015374033,14177130579,"(0.5347631573677063, 0.4851023256778717)","(13.499786376953125, 141.62496948242188, -5.559999942779541)",1,nan,0,"(-61.4720573425293, -2.3676865100860596, 640.7669067382812)","(0.6370501518249512, 0.5052787065505981, 0.4692230224609375)",1,"(0.5386767983436584, 0.46872079372406006)","(15.539031982421875, 146.4263458251953, -5.559999942779541)",1,nan,0,"(5.0225701332092285, -3.2478554248809814, 643.084716796875)","(0.4888426959514618, 0.5072149038314819, 0.4769490659236908)",1,1,1,14176.6330992
1015382376,14177138926,"(0.5304921269416809, 0.4952935576438904)","(11.2742919921875, 138.637939453125, -5.559999942779541)",1,3.7390594482421875,1,"(-61.43768310546875, -2.375343084335327, 640.8917236328125)","(0.6369468569755554, 0.5052947402000427, 0.4696390926837921)",1,"(0.5500268936157227, 0.4431959092617035)","(21.453125, 153.90760803222656, -5.559999942779541)",1,3.566162109375,1,"(5.02797794342041, -3.3094680309295654, 642.6679077148438)","(0.48882341384887695, 0.5073565244674683, 0.47555968165397644)",1,1,1,14176.6330992
1015390700,14177147251,"(0.5337076187133789, 0.4965932369232178)","(12.94976806640625, 138.2570037841797, -5.559999942779541)",1,nan,0,"(-61.396461486816406, -2.3855252265930176, 640.937255859375)","(0.6368452906608582, 0.5053170323371887, 0.46979084610939026)",1,"(0.5440534353256226, 0.48258018493652344)","(18.340576171875, 142.36419677734375, -5.559999942779541)",1,nan,0,"(5.11000919342041, -3.3421828746795654, 642.2440795898438)","(0.48863357305526733, 0.5074341893196106, 0.47414693236351013)",1,1,1,14176.6330992
1015399035,14177155587,"(0.5361383557319641, 0.4881032705307007)","(14.216339111328125, 140.74539184570312, -5.559999942779541)",1,nan,0,"(-61.44151306152344, -2.408437967300415, 641.0191650390625)","(0.6369282007217407, 0.5053674578666687, 0.4700638949871063)",1,"(0.5447531938552856, 0.4822872281074524)","(18.7052001953125, 142.45005798339844, -5.559999942779541)",1,nan,0,"(5.091432094573975, -3.346879005432129, 641.9854125976562)","(0.48867034912109375, 0.5074476003646851, 0.4732847213745117)",1,1,1,14176.6330992
1015407374,14177163927,"(0.5380199551582336, 0.4938535988330841)","(15.19677734375, 139.05999755859375, -5.559999942779541)",1,3.756011962890625,1,"(-61.384742736816406, -2.4320764541625977, 641.0974731445312)","(0.6367849707603455, 0.5054194331169128, 0.47032490372657776)",1,"(0.5369307994842529, 0.4803774952888489)","(14.629241943359375, 143.00979614257812, -5.559999942779541)",1,3.64056396484375,1,"(5.134012222290039, -3.3649518489837646, 641.8164672851562)","(0.4885725975036621, 0.507489800453186, 0.47272154688835144)",1,1,1,14176.6330992
1015415708,14177172262,"(0.5374531745910645, 0.5041792392730713)","(14.90142822265625, 136.0335693359375, -5.559999942779541)",1,nan,0,"(-61.327396392822266, -2.4528045654296875, 641.0521240234375)","(0.6366668343544006, 0.5054660439491272, 0.47017374634742737)",1,"(0.5385480523109436, 0.48053210973739624)","(15.471954345703125, 142.9644775390625, -5.559999942779541)",1,nan,0,"(5.1512770652771, -3.399059295654297, 641.6031494140625)","(0.48853033781051636, 0.5075682401657104, 0.4720104932785034)",1,1,1,14176.6330992
1015424031,14177180586,"(0.5374531745910645, 0.5041792392730713)","(14.90142822265625, 136.0335693359375, -5.559999942779541)",1,nan,0,"(-61.352073669433594, -2.467270851135254, 641.023193359375)","(0.6367279887199402, 0.5054985284805298, 0.4700773060321808)",1,"(0.5416073799133301, 0.4926416873931885)","(17.0660400390625, 139.41519165039062, -5.559999942779541)",1,nan,0,"(5.153669357299805, -3.4076461791992188, 641.5215454101562)","(0.48852357268333435, 0.5075883269309998, 0.4717384874820709)",1,1,1,14176.6330992
