id,gender,dob,date,n_trial,test_stage,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,response,response_angle,wheel_rotation,reaction_time
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Jul_14_2222,1,practice_pri,Prioritise4,1,cross,circle,square,triangle,"1.0,0.00043266500642058503,0.4945408245860483","-0.09355100115627091,0.45554214766479406,0.3928507547204487","0.6364477477613335,0.21838082541010184,0.6641383826852352","1.0,-0.28545618498147696,-0.27665271730440133",309,223,279,9,"-0.09355100115627091,0.45554214766479406,0.3928507547204487",223,"-0.15971287347422924,0.4846106035432911,0.16864202556096686",205,289,1.243601399997715
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Jul_14_2222,2,practice_pri,Prioritise1,0,circle,cross,square,triangle,"1.0,0.04460337025072447,-1.0","-0.12538192785381974,0.49466166942996614,-0.0651744334368548","0.8885895249151152,0.10029123080933622,0.593298310174416","-0.1334211421392112,0.46921826779504494,0.31151742599586085",63,189,296,216,"1.0,0.04460337025072447,-1.0",63,"0.3262451978832188,0.42843842117143094,-1.0",136,268,1.1773768999846652
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Jul_14_2222,3,practice_pri,NoPrioritise,1,triangle,square,circle,cross,"1.0,-0.030699357614306977,-1.0","0.5902286499321849,0.2372037618456999,0.6692134526599127","0.7481042841002781,0.28401253410301863,-1.0","-0.020427730643879483,0.49026716567376205,-0.3409363637973366",53,276,100,172,"0.5902286499321849,0.2372037618456999,0.6692134526599127",276,"1.0,-0.265680167273015,0.01659727634298691",349,150,1.0401368999737315
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Jul_14_2222,4,practice_pri,Prioritise3,3,triangle,cross,square,circle,"1.0,-0.02312336799965975,0.4668836380243213","1.0,-0.25349859092244853,0.058576446168723484","0.6517915958318632,0.21196052870658733,0.661939301509457","0.2563330525591274,0.3540064263668754,0.6360281906414551",312,346,280,254,"0.2563330525591274,0.3540064263668754,0.6360281906414551",254,"0.47470490157818523,0.38660875671905104,-1.0",123,34,1.0400336000020616
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Jul_14_2222,5,practice_pri,Prioritise2,3,square,triangle,circle,cross,"1.0,-0.16655302622891022,0.25673909055504174","1.0,-0.2905679542092485,-0.21635494529981825","0.45139045294854396,0.393779284417197,-1.0","1.0,-0.14190666083918357,-0.7896703829265752",331,5,125,38,"1.0,-0.14190666083918357,-0.7896703829265752",38,"1.0,-0.29113614091237483,-0.20140827106110581",4,44,0.9716789000085555
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Jul_14_2222,1,test,Prioritise1,0,cross,triangle,square,circle,"-0.0889322071979689,0.49470485377678974,-0.17530036558846096","1.0,-0.04666697700988032,0.4375655321668761","1.0,-0.25779156666188097,0.04465505589445962","-0.045760705841983884,0.4412666063320212,0.45569155140365925",182,315,347,229,"-0.0889322071979689,0.49470485377678974,-0.17530036558846096",182,"-0.03545149328753128,0.4915787209123279,-0.3069086161051545",174,23,1.863351000007242
pri_eyetracking_sim_ss4_99,M,0/0/1900,2022_Jul_14_2222,2,test,Prioritise4,1,square,circle,triangle,cross,"0.4282253351913974,0.40067838587068505,-1.0","0.15891936573799903,0.3831804895186659,0.5999565135488085","0.697563521415238,0.19227379976898162,0.6538323072937366","0.1673887875274096,0.46333008938060627,-0.7729226224565875",127,247,283,151,"0.15891936573799903,0.3831804895186659,0.5999565135488085",247,"0.8771865507724368,0.22170185938115816,-1.0",89,310,2.442827599996235
