id,gender,dob,date,n_trial,test_stage,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,response,response_angle,wheel_rotation,reaction_time
pri_eyetracking_sim_ss4_8,M,0/0/1900,2022_Apr_25_1559,1,test,Prioritise2,2,triangle,circle,square,cross,"-0.15601024525342333,0.4900377710624384,0.08414494382818494","1.0,-0.1558548551326704,-0.7405909184559469","0.47470490157818523,0.38660875671905104,-1.0","-0.12881863109484093,0.46745492896353924,0.32362925960524147",199,36,123,217,"0.47470490157818523,0.38660875671905104,-1.0",123,"0.7874973343482177,0.15108074255601633,0.6309286527694675",289,102,1.8151250998489559
pri_eyetracking_sim_ss4_8,M,0/0/1900,2022_Apr_25_1559,2,test,NoPrioritise,0,circle,square,triangle,cross,"1.0,-0.283482916447115,-0.29186272671519153","0.6048714455845987,0.34221696469187823,-1.0","0.4630300053623657,0.39022810787803497,-1.0","0.8168605703912253,0.13684827598857496,0.6213530935889016",10,112,124,291,"1.0,-0.283482916447115,-0.29186272671519153",10,"0.509921421288337,0.37533864292099284,-1.0",120,271,0.693770700134337
pri_eyetracking_sim_ss4_8,M,0/0/1900,2022_Apr_25_1559,3,test,NoPrioritise,2,square,triangle,cross,circle,"0.4981526525436166,0.3791643150394166,-1.0","-0.017538974095646753,0.43320838581829424,0.48452289736445553","0.5453823652594301,0.36344457638027117,-1.0","0.47470490157818523,0.38660875671905104,-1.0",121,232,117,123,"0.5453823652594301,0.36344457638027117,-1.0",117,"-0.137653653553384,0.47091943313012696,0.2992494234533911",215,172,27.534907199908048
pri_eyetracking_sim_ss4_8,M,0/0/1900,2022_Apr_25_1559,4,test,Prioritise3,3,square,circle,cross,triangle,"0.019624625934283157,0.48605247051678724,-0.428609032695351","0.2081252941518954,0.4553611512282272,-0.9356957589344492","1.0,0.007155954649565421,-1.0","1.0,-0.10580765013847959,-0.9756165541078137",167,147,58,43,"1.0,-0.10580765013847959,-0.9756165541078137",43,"1.0,-0.2787294505909397,-0.3224626175099854",12,15,1.1198542001657188
pri_eyetracking_sim_ss4_8,M,0/0/1900,2022_Apr_25_1559,5,test,Prioritise2,3,triangle,square,circle,cross,"1.0,-0.14190666083918357,-0.7896703829265752","1.0,-0.007413941176475647,0.4855113905503705","0.4864131283203974,0.38292092452220805,-1.0","1.0,-0.08353952619481586,-1.0",38,310,122,46,"1.0,-0.08353952619481586,-1.0",46,"0.38995744222104256,0.31083082350540914,0.6645497918058341",263,134,1.066252799704671
pri_eyetracking_sim_ss4_8,M,0/0/1900,2022_Apr_25_1559,6,test,Prioritise4,3,triangle,circle,square,cross,"-0.15971287347422924,0.4846106035432911,0.16864202556096686","1.0,0.022205290041545256,-1.0","0.3937919637711427,0.41052389502637143,-1.0","1.0,-0.20149881210311282,-0.6002331830476271",205,60,130,29,"1.0,-0.20149881210311282,-0.6002331830476271",29,"1.0,-0.27293323902243416,-0.35332683897484074",14,2,4.749073799699545
pri_eyetracking_sim_ss4_8,M,0/0/1900,2022_Apr_25_1559,7,test,Prioritise2,0,circle,cross,triangle,square,"0.5128942075651803,0.26707393527284795,0.6725600501236935","1.0,-0.25779156666188097,0.04465505589445962","1.0,0.04460337025072447,-1.0","0.911575527904773,0.20327130372654878,-1.0",271,347,63,86,"0.5128942075651803,0.26707393527284795,0.6725600501236935",271,"1.0,-0.24513616553833184,-0.4641238358039159",21,31,6.549950700253248
pri_eyetracking_sim_ss4_8,M,0/0/1900,2022_Apr_25_1559,8,test,Prioritise4,2,square,triangle,cross,circle,"-0.10043403746491275,0.49495767021285575,-0.14337977127983403","0.6517915958318632,0.21196052870658733,0.661939301509457","1.0,-0.2784883645829067,-0.04031082501765193","0.7726890832158932,0.15810653737494773,0.6353563968956581",184,280,353,288,"1.0,-0.2784883645829067,-0.04031082501765193",353,"0.09441071644993415,0.40170970408167506,0.5670564126145141",242,152,0.975182400085032
pri_eyetracking_sim_ss4_8,M,0/0/1900,2022_Apr_25_1559,9,test,Prioritise2,1,cross,triangle,square,circle,"-0.15745197328482874,0.48927392525561153,0.09851328502402845","1.0,-0.20752138035248524,-0.5823144238115788","-0.09355100115627091,0.45554214766479406,0.3928507547204487","1.0,-0.07604755533137741,-1.0",200,28,223,47,"1.0,-0.20752138035248524,-0.5823144238115788",28,"0.911575527904773,0.20327130372654878,-1.0",86,320,2.8470915001817048
pri_eyetracking_sim_ss4_8,M,0/0/1900,2022_Apr_25_1559,10,test,Prioritise1,1,cross,triangle,square,circle,"0.12802681261339854,0.47036395437091305,-0.6683938146358337","0.6526534052453359,0.32395804637990677,-1.0","0.4819850074232215,0.2784837623913883,0.6721002952002628","1.0,0.029697581538389972,-1.0",155,108,269,61,"0.6526534052453359,0.32395804637990677,-1.0",108,"0.32969209843730707,0.3308126345090221,0.6543985772501693",259,143,5.250826300121844
pri_eyetracking_sim_ss4_8,M,0/0/1900,2022_Apr_25_1559,11,test,Prioritise4,1,cross,circle,triangle,square,"1.0,-0.2288330890480459,0.12700076968242469","1.0,-0.060989074760531836,-1.0","0.10890282843090082,0.4735368131811257,-0.6233623294930688","0.7278119810668549,0.17880451220180715,0.6471802765379799",341,49,157,285,"1.0,-0.060989074760531836,-1.0",49,"0.10890282843090082,0.4735368131811257,-0.6233623294930688",157,236,4.101391600444913
