id,gender,dob,date,n_trial,test_stage,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,response,response_angle,wheel_rotation,reaction_time
pri_eyetracking_sim_ss4_9,M,1/1/1993,2022_Feb_02_2046,1,practice_pri,Prioritise1,0,square,circle,triangle,cross,"1.0,-0.19319706407583936,0.20612000948251996","0.002753009035762144,0.42748599986642954,0.5027340537090634","-0.15913672951032076,0.48350679120805196,0.18230705521727808","0.9677931896988998,0.1712594071065523,-1.0",335,234,206,81,"1.0,-0.19319706407583936,0.20612000948251996",335,"1.0,-0.24425036060701033,0.08619108045783674",344,39,2.041055576999497
pri_eyetracking_sim_ss4_9,M,1/1/1993,2022_Feb_02_2046,2,practice_pri,Prioritise2,3,square,circle,cross,triangle,"1.0,-0.2853220527670477,-0.0836186653125478","0.37478692104604905,0.3159453148278393,0.6623940312376342","-0.1336957186097738,0.49417000388378884,-0.03453353894846056","1.0,-0.17339639938985352,0.2442586263282529",356,262,191,332,"1.0,-0.17339639938985352,0.2442586263282529",332,"-0.14097292288545527,0.4934633616179327,-0.004268922352566595",193,263,1.5510601829955704
pri_eyetracking_sim_ss4_9,M,1/1/1993,2022_Feb_02_2046,3,practice_pri,NoPrioritise,1,square,circle,cross,triangle,"1.0,-0.10844910144201803,0.3519141850209708","-0.004817967995419115,0.4887422579776717,-0.37551595656205394","-0.15913672951032076,0.48350679120805196,0.18230705521727808","-0.06359610428535867,0.4935649245563736,-0.24027710533734647",323,170,206,178,"-0.004817967995419115,0.4887422579776717,-0.37551595656205394",170,"0.03525654226328623,0.4183671124064994,0.5284836519992187",237,221,1.0697994200018002
pri_eyetracking_sim_ss4_9,M,1/1/1993,2022_Feb_02_2046,4,practice_pri,Prioritise3,3,triangle,square,cross,circle,"0.09017416231209929,0.4764835565228893,-0.581140049938324","0.011345098196205106,0.4870029319956142,-0.41073039696963864","0.15891936573799903,0.3831804895186659,0.5999565135488085","1.0,-0.16269839246793216,-0.7181852224820324",159,168,247,35,"1.0,-0.16269839246793216,-0.7181852224820324",35,"0.6646065852612066,0.3192149609683923,-1.0",107,350,2.6335414350032806
pri_eyetracking_sim_ss4_9,M,1/1/1993,2022_Feb_02_2046,5,practice_pri,Prioritise4,1,triangle,circle,square,cross,"1.0,-0.18672585607811276,0.21894575397790916","0.7362113369355152,0.2892555466706437,-1.0","1.0,-0.015267259554568757,0.4762913260168815","0.31518019558100097,0.43119815975599396,-1.0",334,101,311,137,"0.7362113369355152,0.2892555466706437,-1.0",101,"1.0,-0.045861603138592666,-1.0",51,15,1.7192426580004394
