id,gender,dob,date,n_trial,test_stage,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,response,response_angle,wheel_rotation,reaction_time
pri_eyetracking_sim_ss4_99,M,1/1/1994,2022_Feb_02_2111,1,practice_pri,Prioritise1,0,triangle,circle,cross,square,"1.0,-0.015267259554568757,0.4762913260168815","1.0,-0.27259515439613147,-0.011730747350127468","0.21850949126575658,0.4532202130288874,-0.9933869065076532","1.0,0.14454808295369936,-1.0",311,351,146,77,"1.0,-0.015267259554568757,0.4762913260168815",311,"1.0,-0.25349859092244853,0.058576446168723484",346,148,1.6306983140020748
pri_eyetracking_sim_ss4_99,M,1/1/1994,2022_Feb_02_2111,2,practice_pri,Prioritise4,1,circle,cross,triangle,square,"1.0,-0.265680167273015,0.01659727634298691","1.0,-0.291416597096681,-0.18651092035548889","-0.15218698220497417,0.491399065672369,0.0550849709310266","0.47470490157818523,0.38660875671905104,-1.0",349,3,197,123,"1.0,-0.291416597096681,-0.18651092035548889",3,"1.0,-0.289651960671372,-0.12741280502186536",359,94,1.6306649689940969
pri_eyetracking_sim_ss4_99,M,1/1/1994,2022_Feb_02_2111,3,practice_pri,NoPrioritise,1,square,cross,circle,triangle,"0.04521328814621106,0.4828757040428189,-0.4835461552047625","1.0,-0.12042756170577695,-0.8836340589512358","0.38995744222104256,0.31083082350540914,0.6645497918058341","0.22896995211020998,0.45101907426419996,-1.0",164,41,263,145,"1.0,-0.12042756170577695,-0.8836340589512358",41,"0.5747774279545166,0.24332959852807035,0.670395358395977",275,180,1.4678554909987724
pri_eyetracking_sim_ss4_99,M,1/1/1994,2022_Feb_02_2111,4,practice_pri,Prioritise3,3,cross,circle,square,triangle,"1.0,-0.24030349193845646,-0.4804258498410512","0.4282253351913974,0.40067838587068505,-1.0","1.0,0.09568719202827336,-1.0","1.0,-0.24030349193845646,-0.4804258498410512",22,127,70,22,"1.0,-0.24030349193845646,-0.4804258498410512",22,"1.0,0.00043266500642058503,0.4945408245860483",309,149,1.138187080003263
pri_eyetracking_sim_ss4_99,M,1/1/1994,2022_Feb_02_2111,5,practice_pri,Prioritise2,3,cross,circle,square,triangle,"1.0,-0.18904346603826983,-0.637249894721835","0.5453823652594301,0.36344457638027117,-1.0","0.984183681480933,0.0471694796759472,0.544551712303033","-0.15325530146069954,0.47850880592239364,0.23567289266690317",31,117,303,210,"-0.15325530146069954,0.47850880592239364,0.23567289266690317",210,"1.0,0.029697581538389972,-1.0",61,44,1.299612677001278
pri_eyetracking_sim_ss4_99,M,1/1/1994,2022_Feb_02_2111,1,test,NoPrioritise,3,triangle,circle,cross,square,"-0.1336957186097738,0.49417000388378884,-0.03453353894846056","1.0,-0.07007995956776203,0.4066709204115653","1.0,-0.12344048141961106,0.3289459564990056","0.854028730639278,0.2336538600688729,-1.0",191,318,325,91,"0.854028730639278,0.2336538600688729,-1.0",91,"0.9001622899209403,0.20948101299508481,-1.0",87,46,3.3615010540015646
