id,gender,dob,date,n_trial,test_stage,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,response,response_angle,wheel_rotation,reaction_time
pri_eyetracking_sim_ss4_1,M,0/0/1900,2022_Feb_02_2114,1,practice_pri,Prioritise3,3,square,cross,triangle,circle,"1.0,-0.23006636068103248,-0.5135224369802548","0.09441071644993482,0.40170970408167506,0.5670564126145141","0.1774490411200258,0.4614263698132157,-0.8044096137074778","0.1184165720364383,0.4719787961363635,-0.6454646836219573",24,242,150,156,"0.1184165720364383,0.4719787961363635,-0.6454646836219573",156,"1.0,-0.14190666083918357,-0.7896703829265752",38,53,1.0857941309950547
pri_eyetracking_sim_ss4_1,M,0/0/1900,2022_Feb_02_2114,2,practice_pri,Prioritise2,3,circle,cross,triangle,square,"1.0,-0.27567226916307197,-0.025990342729996674","0.9165223056430671,0.08531838961047389,0.5804719469242157","0.5593128013847881,0.24938009178326226,0.6713213889936891","-0.15087465470231598,0.47711162872615454,0.24867635980838454",352,298,274,211,"-0.15087465470231598,0.47711162872615454,0.24867635980838454",211,"0.08211922552252782,0.40518924666980105,0.5597871012004456",241,216,1.5539345419965684
pri_eyetracking_sim_ss4_1,M,0/0/1900,2022_Feb_02_2114,3,practice_pri,Prioritise1,0,circle,triangle,cross,square,"1.0,0.11693500061052231,-1.0","-0.15936350859590664,0.487578374203653,0.1269149288768463","0.3485477954945324,0.4227267056127266,-1.0","0.3148218664135791,0.3356097028178475,0.6512264970146455",73,202,134,258,"1.0,0.11693500061052231,-1.0",73,"1.0,0.04460337025072447,-1.0",63,30,1.3868311179976445
pri_eyetracking_sim_ss4_1,M,0/0/1900,2022_Feb_02_2114,4,practice_pri,Prioritise4,1,square,cross,circle,triangle,"1.0,-0.24513616553833184,-0.4641238358039159","0.12802681261339854,0.47036395437091305,-0.6683938146358337","0.35978173682339754,0.41977397962065344,-1.0","-0.15745197328482874,0.48927392525561153,0.09851328502402845",21,155,133,200,"0.12802681261339854,0.47036395437091305,-0.6683938146358337",155,"1.0,-0.27259515439613147,-0.011730747350127468",351,82,1.303053750001709
pri_eyetracking_sim_ss4_1,M,0/0/1900,2022_Feb_02_2114,5,practice_pri,NoPrioritise,1,square,cross,circle,triangle,"1.0,-0.25779156666188097,0.04465505589445962","0.003196340864616065,0.48789947231709707,-0.3930376390559923","-0.10587186235375057,0.4950046804635242,-0.12755688133261178","0.557247182986663,0.35934004439537626,-1.0",347,169,185,116,"0.003196340864616065,0.48789947231709707,-0.3930376390559923",169,"0.5438403016684124,0.25535465854340766,0.6719910833849003",273,173,1.3192802749981638
