id,gender,dob,date,n_trial,test_stage,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,response,response_angle,wheel_rotation,reaction_time
pri_eyetracking_sim_ss4_9,M,0/0/1900,2022_Apr_07_1039,1,practice_pri,Prioritise2,3,cross,triangle,square,circle,"0.3937919637711427,0.41052389502637143,-1.0","0.1377313063497616,0.46869198128419454,-0.6923217342230605","0.14752787305018233,0.4669625621869047,-0.7174796825499677","-0.1336957186097738,0.49417000388378884,-0.03453353894846056",130,154,153,191,"-0.1336957186097738,0.49417000388378884,-0.03453353894846056",191,"1.0,-0.1801231371030828,0.23165973332613699",333,85,1.2493342000525445
pri_eyetracking_sim_ss4_9,M,0/0/1900,2022_Apr_07_1039,2,practice_pri,NoPrioritise,1,circle,cross,triangle,square,"0.6646065852612066,0.3192149609683923,-1.0","0.5453823652594301,0.36344457638027117,-1.0","0.984183681480933,0.0471694796759472,0.544551712303033","1.0,-0.015267259554568757,0.4762913260168815",107,117,303,311,"0.5453823652594301,0.36344457638027117,-1.0",117,"0.3148218664135791,0.3356097028178475,0.6512264970146455",258,234,1.4965324001386762
pri_eyetracking_sim_ss4_9,M,0/0/1900,2022_Apr_07_1039,3,practice_pri,Prioritise4,1,square,triangle,cross,circle,"0.3937919637711427,0.41052389502637143,-1.0","1.0,0.01469043779870538,-1.0","0.04521328814621106,0.4828757040428189,-0.4835461552047625","0.9898363577373541,0.15802139914365565,-1.0",130,59,164,79,"1.0,0.01469043779870538,-1.0",59,"0.6056610145008174,0.2310032177113197,0.6677762187869551",277,263,1.3533784998580813
pri_eyetracking_sim_ss4_9,M,0/0/1900,2022_Apr_07_1039,4,practice_pri,Prioritise1,0,cross,triangle,square,circle,"1.0,-0.16269839246793216,-0.7181852224820324","0.911575527904773,0.20327130372654878,-1.0","1.0,-0.283482916447115,-0.29186272671519153","0.45139045294854396,0.393779284417197,-1.0",35,86,10,125,"1.0,-0.16269839246793216,-0.7181852224820324",35,"0.27079222332264496,0.349525727356639,0.6402021298134932",255,121,1.5953451001551002
pri_eyetracking_sim_ss4_9,M,0/0/1900,2022_Apr_07_1039,5,practice_pri,Prioritise3,3,square,cross,circle,triangle,"-0.15857178695416452,0.48845422840718666,0.1127707600476957","0.011345098196205106,0.4870029319956142,-0.41073039696963887","0.8307090529045498,0.2453327610063578,-1.0","1.0,0.023895135487088437,0.520455959599228",201,168,93,306,"1.0,0.023895135487088437,0.520455959599228",306,"1.0,-0.266139671692747,-0.3844942650329082",16,177,1.4741491000168025
