id,gender,dob,date,n_trial,test_stage,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,response,response_angle,wheel_rotation,reaction_time
pri_eyetracking_sim_ss4_6,M,0/0/1900,2022_Apr_07_1011,1,practice_pri,Prioritise3,3,square,cross,triangle,circle,"1.0,0.0520116041796701,-1.0","0.8744524420551003,0.1077067653533772,0.5993718879433354","0.024156992038590452,0.42147876676365525,0.5201127943356356","0.4511598862406947,0.28958122135142217,0.6706112376461497",64,295,236,267,"0.4511598862406947,0.28958122135142217,0.6706112376461497",267,"1.0,-0.015267259554568757,0.4762913260168815",311,86,4.5791947999969125
pri_eyetracking_sim_ss4_6,M,0/0/1900,2022_Apr_07_1011,2,practice_pri,Prioritise1,0,circle,cross,triangle,square,"1.0,-0.22467733398512213,-0.5303566464837048","0.03656203285471027,0.4839890544285097,-0.46499532916065","0.5283655398475315,0.26125276704655587,0.6724040666408482","1.0,0.08129056571751603,-1.0",25,165,272,68,"1.0,-0.22467733398512213,-0.5303566464837048",25,"1.0,-0.28545618498147696,-0.27665271730440133",9,226,9.185465200003819
pri_eyetracking_sim_ss4_6,M,0/0/1900,2022_Apr_07_1011,3,practice_pri,Prioritise4,1,square,circle,cross,triangle,"1.0,-0.28545618498147696,-0.27665271730440133","0.18759316868675757,0.45946387343509576,-0.8398972692549822","0.7278119810668549,0.17880451220180715,0.6471802765379799","0.2563330525591274,0.3540064263668754,0.6360281906414551",9,149,285,254,"0.18759316868675757,0.45946387343509576,-0.8398972692549822",149,"-0.004817967995419115,0.4887422579776717,-0.37551595656205394",170,191,7.436667600006331
pri_eyetracking_sim_ss4_6,M,0/0/1900,2022_Apr_07_1011,4,practice_pri,NoPrioritise,1,triangle,square,cross,circle,"0.03656203285471027,0.4839890544285097,-0.46499532916065","-0.15857178695416452,0.48845422840718666,0.1127707600476957","1.0,-0.05449202187079283,0.427438243059558","0.40522526965537775,0.4073086888830977,-1.0",165,201,316,129,"-0.15857178695416452,0.48845422840718666,0.1127707600476957",201,"0.07186027412725471,0.47920645949573504,-0.5409731165987569",161,108,5.482391099998495
pri_eyetracking_sim_ss4_6,M,0/0/1900,2022_Apr_07_1011,5,practice_pri,Prioritise2,3,square,circle,cross,triangle,"1.0,0.031678509722878445,0.528693730626498","1.0,-0.07604755533137741,-1.0","1.0,-0.27293323902243416,-0.35332683897484074","0.8189948021797893,0.2510686603392729,-1.0",305,47,14,94,"0.8189948021797893,0.2510686603392729,-1.0",94,"0.5453823652594301,0.36344457638027117,-1.0",117,242,5.78416450000077
pri_eyetracking_sim_ss4_6,M,0/0/1900,2022_Apr_07_1011,1,test,Prioritise2,0,cross,triangle,square,circle,"1.0,0.023895135487088437,0.520455959599228","1.0,-0.21911833444213913,-0.5474132739956148","1.0,-0.18672585607811187,0.21894575397790916","0.5217173616076898,0.3714436344565344,-1.0",306,26,334,119,"1.0,0.023895135487088437,0.520455959599228",306,"0.9026141269879491,0.09282770385166228,0.5869975937203944",297,296,6.315708699999959
pri_eyetracking_sim_ss4_6,M,0/0/1900,2022_Apr_07_1011,2,test,NoPrioritise,0,circle,triangle,square,cross,"0.4397882380638529,0.39726260220805054,-1.0","0.7874973343482177,0.15108074255601633,0.6309286527694675","0.6210691465439071,0.22472865664823272,0.6660842894513506","1.0,-0.045861603138592444,-1.0",126,289,278,51,"0.4397882380638529,0.39726260220805054,-1.0",126,"0.49743207809976986,0.2728177294164349,0.672458831583457",270,351,9.234413899990614
pri_eyetracking_sim_ss4_6,M,0/0/1900,2022_Apr_07_1011,3,test,Prioritise4,3,triangle,cross,square,circle,"0.509921421288337,0.37533864292099284,-1.0","1.0,-0.19319706407583936,0.20612000948251996","1.0,-0.030978196634575572,0.4572913763932509","-0.1599394399400429,0.4856569012506431,0.15485318992015062",120,335,313,204,"-0.1599394399400429,0.4856569012506431,0.15485318992015062",204,"-0.14097292288545527,0.4934633616179327,-0.004268922352566595",193,238,5.684332999997423
pri_eyetracking_sim_ss4_6,M,0/0/1900,2022_Apr_07_1011,4,test,Prioritise2,1,cross,circle,triangle,square,"-0.12384754992127334,0.4656289401720195,0.3355818842165046","1.0,0.04460337025072447,-1.0","0.43579397082986615,0.29501209376045523,0.6694809165992386","1.0,-0.10844910144201803,0.3519141850209708",218,63,266,323,"1.0,0.04460337025072447,-1.0",63,"1.0,0.09568719202827336,-1.0",70,341,3.1627663999970537
pri_eyetracking_sim_ss4_6,M,0/0/1900,2022_Apr_07_1011,5,test,Prioritise3,3,square,triangle,cross,circle,"0.1997782184249719,0.37114427631595914,0.6168699381761522","-0.11109230792064029,0.494998675286374,-0.11182488810932678","1.0,-0.28849207683894174,-0.11276294357485506","0.4981526525436166,0.3791643150394166,-1.0",250,186,358,121,"0.4981526525436166,0.3791643150394166,-1.0",121,"1.0,0.12391818455152381,-1.0",74,198,5.468732199995429
