id,gender,dob,date,n_trial,test_stage,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,response,response_angle,wheel_rotation,reaction_time
pri_eyetracking_sim_ss4_99,M,9/12/1900,2022_Feb_09_1001,1,practice_pri,Prioritise1,0,triangle,circle,cross,square,"1.0,-0.015267259554568757,0.4762913260168815","1.0,-0.27259515439613147,-0.011730747350127468","0.21850949126575658,0.4532202130288874,-0.9933869065076532","1.0,0.14454808295369936,-1.0",311,351,146,77,"1.0,-0.015267259554568757,0.4762913260168815",311,"1.0,-0.04666697700988032,0.4375655321668761",315,148,6.29623196600005
pri_eyetracking_sim_ss4_99,M,9/12/1900,2022_Feb_09_1001,2,practice_pri,Prioritise4,1,circle,cross,triangle,square,"1.0,-0.265680167273015,0.01659727634298691","1.0,-0.291416597096681,-0.18651092035548889","-0.15218698220497417,0.491399065672369,0.0550849709310266","0.47470490157818523,0.38660875671905104,-1.0",349,3,197,123,"1.0,-0.291416597096681,-0.18651092035548889",3,"1.0,-0.289651960671372,-0.12741280502186536",359,94,37.70892818199354
pri_eyetracking_sim_ss4_99,M,9/12/1900,2022_Feb_09_1001,3,practice_pri,NoPrioritise,1,square,cross,circle,triangle,"0.04521328814621106,0.4828757040428189,-0.4835461552047625","1.0,-0.12042756170577695,-0.8836340589512358","0.38995744222104256,0.31083082350540914,0.6645497918058341","0.22896995211020998,0.45101907426419996,-1.0",164,41,263,145,"1.0,-0.12042756170577695,-0.8836340589512358",41,"0.5438403016684124,0.25535465854340766,0.6719910833849003",273,180,3.0503652719780803
pri_eyetracking_sim_ss4_99,M,9/12/1900,2022_Feb_09_1001,4,practice_pri,Prioritise3,3,cross,circle,square,triangle,"1.0,-0.24030349193845646,-0.4804258498410512","0.4282253351913974,0.40067838587068505,-1.0","1.0,0.09568719202827336,-1.0","1.0,-0.24030349193845646,-0.4804258498410512",22,127,70,22,"1.0,-0.24030349193845646,-0.4804258498410512",22,"0.9709143462906737,0.05487098646765176,0.5521665648538059",302,149,2.20546031097183
pri_eyetracking_sim_ss4_99,M,9/12/1900,2022_Feb_09_1001,5,practice_pri,Prioritise2,3,cross,circle,square,triangle,"1.0,-0.18904346603826983,-0.637249894721835","0.5453823652594301,0.36344457638027117,-1.0","0.984183681480933,0.0471694796759472,0.544551712303033","-0.15325530146069954,0.47850880592239364,0.23567289266690317",31,117,303,210,"-0.15325530146069954,0.47850880592239364,0.23567289266690317",210,"1.0,-0.045861603138592666,-1.0",51,44,29.8274539130216
