id,gender,dob,date,n_trial,test_stage,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,response,response_angle,wheel_rotation,reaction_time
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,11,test,Prioritise4,3,cross,triangle,square,circle,"0.9342399836420399,0.1906568045828605,-1.0","0.7599790593392,0.278698430329378,-1.0","1.0,0.07402842417913646,-1.0","-0.10043403746491275,0.49495767021285575,-0.14337977127983403",84,99,67,184,"-0.10043403746491275,0.49495767021285575,-0.14337977127983403",184,"0.013319861281873457,0.4245182348375207,0.5115287599103473",235,277,2.153612800000701
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,12,test,Prioritise4,0,triangle,square,circle,cross,"0.5438403016684124,0.25535465854340766,0.6719910833849003","1.0,-0.12765325079304635,-0.8480385611780058","1.0,-0.2759589912597996,-0.3378595329546661","-0.12085421394465079,0.49482727509491764,-0.08063336981743141",273,40,13,188,"0.5438403016684124,0.25535465854340766,0.6719910833849003",273,"0.29323185337982705,0.4365272844863326,-1.0",139,280,1.7788383000006434
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,13,test,NoPrioritise,3,square,cross,circle,triangle,"0.11962807502985351,0.3945255124543332,0.5809118383777745","1.0,0.023895135487088437,0.520455959599228","1.0,-0.030699357614306977,-1.0","0.09948789533259128,0.47503830359136323,-0.601955130836429",244,306,53,158,"0.09948789533259128,0.47503830359136323,-0.601955130836429",158,"1.0,-0.015267259554568757,0.4762913260168815",311,43,1.8581276999902911
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,14,test,Prioritise3,3,square,cross,triangle,circle,"-0.10674528321075638,0.4597702151299572,0.3704541436797111","-0.03665861455697994,0.4386499069954206,0.4655003413302212","1.0,-0.2787294505909397,-0.3224626175099854","1.0,-0.25779156666188097,0.04465505589445962",221,230,12,347,"1.0,-0.25779156666188097,0.04465505589445962",347,"0.7278119810668549,0.17880451220180715,0.6471802765379799",285,237,2.4490657999995165
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,15,test,NoPrioritise,0,circle,square,cross,triangle,"0.5217173616076898,0.3714436344565344,-1.0","1.0,0.008268781307839035,0.5033766660072689","0.2563330525591274,0.3540064263668754,0.6360281906414551","0.4204673865307198,0.3003640950728248,0.6680936776579738",119,308,254,265,"0.5217173616076898,0.3714436344565344,-1.0",119,"0.8602068900008202,0.11507220116757,0.6052161878467197",294,172,2.048131599993212
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,16,test,Prioritise2,0,triangle,circle,square,cross,"0.09441071644993415,0.40170970408167506,0.5670564126145141","1.0,-0.2696580629443429,-0.3688697412252795","0.5691306813430501,0.3551652128948415,-1.0","-0.10587186235375057,0.4950046804635242,-0.12755688133261178",242,15,115,185,"0.09441071644993415,0.40170970408167506,0.5670564126145141",242,"-0.1336957186097738,0.49417000388378884,-0.03453353894846056",191,208,2.6397847999905935
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,17,test,Prioritise1,3,triangle,cross,circle,square,"0.002753009035763032,0.42748599986642954,0.5027340537090634","0.2607905457923898,0.44405077031286466,-1.0","1.0,-0.05449202187079283,0.427438243059558","1.0,-0.16655302622891022,0.25673909055504174",234,142,316,331,"1.0,-0.16655302622891022,0.25673909055504174",331,"0.7599790593392,0.278698430329378,-1.0",99,91,1.806132500001695
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,18,test,Prioritise2,1,triangle,circle,square,cross,"1.0,-0.2784883645829067,-0.04031082501765193","1.0,-0.27567226916307197,-0.025990342729996674","1.0,-0.24976805918886447,-0.4479639557291707","1.0,-0.29113614091237483,-0.20140827106110581",353,352,20,4,"1.0,-0.27567226916307197,-0.025990342729996674",352,"1.0,-0.2914084206358549,-0.1716625835351976",2,122,2.1256981000042288
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,19,test,NoPrioritise,1,triangle,cross,circle,square,"-0.14097292288545527,0.4934633616179327,-0.004268922352566595","-0.0789607698268403,0.4510515800167316,0.41453817725242015","0.4051864188365102,0.30563705046778256,0.6664498358678796","0.8314067698500829,0.129644828397681,0.6162087510840306",193,225,264,292,"-0.0789607698268403,0.4510515800167316,0.41453817725242015",225,"0.9439739668489959,0.07017173146500566,0.5667550331301558",300,110,2.362009599994053
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,20,test,NoPrioritise,2,circle,cross,triangle,square,"1.0,-0.18672585607811187,0.21894575397790916","0.7836643519746782,0.2678576623980824,-1.0","1.0,-0.23006636068103248,-0.5135224369802548","0.7243026375027783,0.2944273290124073,-1.0",334,97,24,102,"1.0,-0.23006636068103248,-0.5135224369802548",24,"1.0,-0.24425036060701033,0.08619108045783674",344,197,4.002127699990524
