id,gender,dob,date,n_trial,test_stage,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,response,response_angle,wheel_rotation,reaction_time
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,1,test,Prioritise1,0,circle,cross,square,triangle,"1.0,0.10990102188412854,-1.0","1.0,-0.13815640460244194,0.305409278040333","1.0,-0.1801231371030828,0.23165973332613699","0.03525654226328623,0.4183671124064994,0.5284836519992187",72,327,333,237,"1.0,0.10990102188412854,-1.0",72,"1.0,-0.05449202187079283,0.427438243059558",316,273,1.636559100006707
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,2,test,Prioritise2,3,cross,circle,square,triangle,"1.0,0.10990102188412854,-1.0","0.9575099088241161,0.0625393185362546,0.5595685159060846","-0.1336957186097738,0.49417000388378884,-0.03453353894846056","1.0,0.13084904670314157,-1.0",72,301,191,75,"1.0,0.13084904670314157,-1.0",75,"-0.12085421394465079,0.49482727509491764,-0.08063336981743141",188,139,2.6423973999917507
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,3,test,Prioritise3,0,circle,square,triangle,cross,"1.0,-0.2352776592018201,-0.4968859262116322","1.0,0.03716450464441401,-1.0","0.2081252941518954,0.4553611512282272,-0.9356957589344492","1.0,-0.18262560807777894,-0.6564771422547051",23,62,147,32,"1.0,-0.2352776592018201,-0.4968859262116322",23,"1.0,0.01469043779870538,-1.0",59,22,2.7814438000059454
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,4,test,Prioritise1,2,cross,square,circle,triangle,"1.0,-0.02312336799965975,0.4668836380243213","1.0,-0.08353952619481586,-1.0","0.6407010103455535,0.32862970770224886,-1.0","1.0,-0.2914084206358549,-0.1716625835351976",312,46,109,2,"0.6407010103455535,0.32862970770224886,-1.0",109,"1.0,-0.2759589912597996,-0.3378595329546661",13,315,2.6114424000115832
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,5,test,Prioritise4,2,triangle,square,cross,circle,"-0.05680994196765965,0.4931478034098584,-0.2567707460520542","-0.12538192785381974,0.49466166942996614,-0.0651744334368548","1.0,-0.10844910144201803,0.3519141850209708","1.0,-0.0932311933171065,0.374286934875081",177,189,323,321,"1.0,-0.10844910144201803,0.3519141850209708",323,"0.45139045294854396,0.393779284417197,-1.0",125,37,1.658246799997869
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,6,test,Prioritise2,2,cross,triangle,circle,square,"0.09948789533259128,0.47503830359136323,-0.601955130836429","1.0,-0.03828278687151976,-1.0","-0.017538974095646753,0.43320838581829424,0.48452289736445553","1.0,0.00043266500642058503,0.4945408245860483",158,52,232,309,"-0.017538974095646753,0.43320838581829424,0.48452289736445553",232,"1.0,-0.11314379054822865,-0.9277147292103822",42,53,1.993943000008585
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,7,test,Prioritise3,1,triangle,square,circle,cross,"1.0,0.022205290041545256,-1.0","1.0,-0.18904346603826983,-0.637249894721835","0.1673887875274096,0.46333008938060627,-0.7729226224565875","0.6287517000804042,0.333230015934751,-1.0",60,31,151,110,"1.0,-0.18904346603826983,-0.637249894721835",31,"1.0,-0.12765325079304635,-0.8480385611780058",40,145,2.2987378999969224
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,8,test,Prioritise4,1,square,circle,triangle,cross,"1.0,-0.24513616553833184,-0.4641238358039159","1.0,-0.24898244687401672,0.0724226931177736","0.2081252941518954,0.4553611512282272,-0.9356957589344492","-0.03545149328753128,0.4915787209123279,-0.3069086161051545",21,345,147,174,"1.0,-0.24898244687401672,0.0724226931177736",345,"0.07004997715874661,0.40859431628906884,0.5522929170622126",240,160,1.7098608000087552
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,9,test,Prioritise1,1,circle,triangle,cross,square,"1.0,-0.1694459751095364,-0.6968170409133772","-0.004817967995419115,0.4887422579776717,-0.37551595656205394","1.0,-0.2583995670372059,-0.4160170008955538","0.2081252941518954,0.4553611512282272,-0.9356957589344492",34,170,18,147,"-0.004817967995419115,0.4887422579776717,-0.37551595656205394",170,"1.0,-0.10580765013847959,-0.9756165541078137",43,141,1.2414970000099856
pri_eyetracking_sim_ss4_500,M,0/0/1900,2022_Apr_26_1211,10,test,Prioritise3,2,circle,cross,square,triangle,"0.911575527904773,0.20327130372654878,-1.0","0.9001622899209403,0.20948101299508481,-1.0","0.18759316868675757,0.45946387343509576,-0.8398972692549822","1.0,-0.16269839246793216,-0.7181852224820324",86,87,149,35,"0.18759316868675757,0.45946387343509576,-0.8398972692549822",149,"1.0,-0.09842467873037941,-1.0",44,246,2.656755100004375
