id,gender,dob,date,n_trial,test_stage,condition,tested_position,shape_0,shape_1,shape_2,shape_3,color_0,color_1,color_2,color_3,color_angle_0,color_angle_1,color_angle_2,color_angle_3,correct_response,correct_response_angle,response,response_angle,wheel_rotation,reaction_time
pri_eyetracking_sim_ss4_9,M,0/0/1900,2022_Feb_02_2112,1,practice_pri,Prioritise1,0,square,circle,triangle,cross,"1.0,-0.19319706407583936,0.20612000948251996","0.002753009035762144,0.42748599986642954,0.5027340537090634","-0.15913672951032076,0.48350679120805196,0.18230705521727808","0.9677931896988998,0.1712594071065523,-1.0",335,234,206,81,"1.0,-0.19319706407583936,0.20612000948251996",335,"1.0,-0.09100024043058197,-1.0",45,39,0.9627127519997885
pri_eyetracking_sim_ss4_9,M,0/0/1900,2022_Feb_02_2112,2,practice_pri,Prioritise2,3,square,circle,cross,triangle,"1.0,-0.2853220527670477,-0.0836186653125478","0.37478692104604905,0.3159453148278393,0.6623940312376342","-0.1336957186097738,0.49417000388378884,-0.03453353894846056","1.0,-0.17339639938985352,0.2442586263282529",356,262,191,332,"1.0,-0.17339639938985352,0.2442586263282529",332,"0.04521328814621106,0.4828757040428189,-0.4835461552047625",164,263,0.7969732729980024
pri_eyetracking_sim_ss4_9,M,0/0/1900,2022_Feb_02_2112,3,practice_pri,NoPrioritise,1,square,circle,cross,triangle,"1.0,-0.10844910144201803,0.3519141850209708","-0.004817967995419115,0.4887422579776717,-0.37551595656205394","-0.15913672951032076,0.48350679120805196,0.18230705521727808","-0.06359610428535867,0.4935649245563736,-0.24027710533734647",323,170,206,178,"-0.004817967995419115,0.4887422579776717,-0.37551595656205394",170,"-0.02724900693809007,0.43596400275120595,0.47511170232003863",231,221,1.1268143919951399
pri_eyetracking_sim_ss4_9,M,0/0/1900,2022_Feb_02_2112,4,practice_pri,Prioritise3,3,triangle,square,cross,circle,"0.09017416231209929,0.4764835565228893,-0.581140049938324","0.011345098196205106,0.4870029319956142,-0.41073039696963864","0.15891936573799903,0.3831804895186659,0.5999565135488085","1.0,-0.16269839246793216,-0.7181852224820324",159,168,247,35,"1.0,-0.16269839246793216,-0.7181852224820324",35,"0.854028730639278,0.2336538600688729,-1.0",91,350,0.643705675000092
pri_eyetracking_sim_ss4_9,M,0/0/1900,2022_Feb_02_2112,5,practice_pri,Prioritise4,1,triangle,circle,square,cross,"1.0,-0.18672585607811276,0.21894575397790916","0.7362113369355152,0.2892555466706437,-1.0","1.0,-0.015267259554568757,0.4762913260168815","0.31518019558100097,0.43119815975599396,-1.0",334,101,311,137,"0.7362113369355152,0.2892555466706437,-1.0",101,"1.0,0.10990102188412854,-1.0",72,15,1.1328034979960648
